gene,cluster,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Pdzk1ip1,Deiters_1st/2nd_row,0,2.043009049,0.371,0.033,0
Serpine2,Deiters_1st/2nd_row,0,1.978323013,0.844,0.104,0
S100a1,Deiters_1st/2nd_row,0,1.883195791,1,0.503,0
Hes5,Deiters_1st/2nd_row,0,1.835592505,0.884,0.162,0
Ppp1r2,Deiters_1st/2nd_row,5.37E-291,1.821157054,0.987,0.637,1.24E-286
Lfng,Deiters_1st/2nd_row,0,1.80903074,0.915,0.094,0
Fzd9,Deiters_1st/2nd_row,0,1.682342907,0.906,0.182,0
Rflnb,Deiters_1st/2nd_row,0,1.652877793,0.855,0.102,0
Emid1,Deiters_1st/2nd_row,0,1.600319864,0.908,0.174,0
Igfbp3,Deiters_1st/2nd_row,0,1.600074585,0.96,0.312,0
Socs2,Deiters_1st/2nd_row,0,1.553323074,0.998,0.392,0
4930523C07Rik,Deiters_1st/2nd_row,0,1.483911628,0.764,0.084,0
Fam159b,Deiters_1st/2nd_row,0,1.460965142,0.659,0.054,0
2310022B05Rik,Deiters_1st/2nd_row,0,1.415624345,0.837,0.224,0
Car14,Deiters_1st/2nd_row,0,1.413303203,0.598,0.029,0
Cep41,Deiters_1st/2nd_row,0,1.376995197,0.654,0.054,0
Igfbp5,Deiters_1st/2nd_row,3.19E-219,1.374577158,0.94,0.516,7.38E-215
Nrcam,Deiters_1st/2nd_row,0,1.363305832,0.801,0.12,0
Cox4i2,Deiters_1st/2nd_row,0,1.362969748,0.672,0.117,0
Smagp,Deiters_1st/2nd_row,0,1.352332683,0.612,0.037,0
Agr3,Deiters_1st/2nd_row,4.52E-174,1.327959481,0.486,0.108,1.05E-169
Lockd,Deiters_1st/2nd_row,0,1.322155662,0.612,0.087,0
Rab3b,Deiters_1st/2nd_row,0,1.288751539,0.533,0.058,0
Tm4sf1,Deiters_1st/2nd_row,2.05E-187,1.264366962,0.909,0.443,4.74E-183
Mansc4,Deiters_1st/2nd_row,0,1.254236915,0.553,0.015,0
Phlda1,Deiters_1st/2nd_row,1.33E-227,1.192554521,0.895,0.357,3.07E-223
Fgfr3,Deiters_1st/2nd_row,0,1.182971933,0.69,0.061,0
Fkbp1a,Deiters_1st/2nd_row,2.94E-250,1.166847414,1,0.848,6.80E-246
Gstm1,Deiters_1st/2nd_row,1.66E-138,1.149056918,0.647,0.233,3.84E-134
Uchl1,Deiters_1st/2nd_row,9.20E-213,1.146882304,0.937,0.52,2.13E-208
Dbi,Deiters_1st/2nd_row,2.82E-122,1.130069084,0.951,0.776,6.53E-118
Cxcl12,Deiters_1st/2nd_row,1.78E-307,1.117780678,0.683,0.129,4.11E-303
Rora,Deiters_1st/2nd_row,0,1.116302353,0.607,0.097,0
Zbtb20,Deiters_1st/2nd_row,2.29E-181,1.099571086,0.935,0.555,5.29E-177
Prss23,Deiters_1st/2nd_row,1.39E-180,1.099515383,0.832,0.325,3.22E-176
Hey1,Deiters_1st/2nd_row,2.78E-201,1.085756828,0.942,0.469,6.43E-197
Rassf10,Deiters_1st/2nd_row,6.74E-238,1.071631037,0.723,0.184,1.56E-233
Eno1,Deiters_1st/2nd_row,1.07E-180,1.070931011,0.947,0.621,2.47E-176
Aqp11,Deiters_1st/2nd_row,5.45E-190,1.057808346,0.846,0.358,1.26E-185
Egfl6,Deiters_1st/2nd_row,0,1.055506939,0.534,0.039,0
Rtn1,Deiters_1st/2nd_row,3.49E-201,1.04479622,0.804,0.269,8.08E-197
Eva1a,Deiters_1st/2nd_row,0,1.034269045,0.558,0.069,0
Anxa5,Deiters_1st/2nd_row,4.15E-149,1.029731681,0.957,0.705,9.60E-145
Ramp3,Deiters_1st/2nd_row,0,1.023387948,0.632,0.084,0
Arrdc4,Deiters_1st/2nd_row,1.66E-163,1.015241265,0.788,0.315,3.84E-159
Hs3st1,Deiters_1st/2nd_row,4.29E-289,0.998947093,0.632,0.111,9.93E-285
Lsamp,Deiters_1st/2nd_row,9.82E-217,0.969870925,0.71,0.193,2.27E-212
Prox1,Deiters_1st/2nd_row,0,0.966878423,0.516,0.025,0
Thbs1,Deiters_1st/2nd_row,2.03E-154,0.964311635,0.754,0.274,4.70E-150
Nav2,Deiters_1st/2nd_row,0,0.962041153,0.569,0.083,0
Acot1,Deiters_1st/2nd_row,6.66E-141,0.955194394,0.895,0.508,1.54E-136
Gdpd1,Deiters_1st/2nd_row,4.31E-161,0.949624051,0.764,0.313,9.97E-157
Ntf3,Deiters_1st/2nd_row,1.10E-169,0.94029458,0.746,0.253,2.54E-165
Tnnt1,Deiters_1st/2nd_row,0,0.923451403,0.469,0.053,0
Sox2,Deiters_1st/2nd_row,1.39E-183,0.914125127,0.745,0.237,3.21E-179
Gm266,Deiters_1st/2nd_row,5.98E-292,0.907690141,0.476,0.061,1.38E-287
Proser2,Deiters_1st/2nd_row,0,0.906815226,0.527,0.071,0
Gabarapl1,Deiters_1st/2nd_row,5.31E-140,0.873517527,0.783,0.344,1.23E-135
Ppp2r2b,Deiters_1st/2nd_row,3.17E-235,0.87246329,0.601,0.12,7.34E-231
Mgst3,Deiters_1st/2nd_row,7.67E-145,0.869715153,0.982,0.784,1.77E-140
Rnd2,Deiters_1st/2nd_row,5.57E-154,0.865422171,0.663,0.221,1.29E-149
Cyp26b1,Deiters_1st/2nd_row,1.68E-180,0.848954274,0.616,0.162,3.89E-176
Bace2,Deiters_1st/2nd_row,0,0.843742877,0.417,0.017,0
Cdh1,Deiters_1st/2nd_row,3.68E-145,0.836482888,0.661,0.228,8.52E-141
S100b,Deiters_1st/2nd_row,1.36E-228,0.824602483,0.399,0.053,3.14E-224
Got2,Deiters_1st/2nd_row,1.10E-126,0.815759654,0.708,0.299,2.55E-122
Ninj1,Deiters_1st/2nd_row,2.50E-133,0.807050382,0.933,0.67,5.79E-129
Dync1i1,Deiters_1st/2nd_row,0,0.801353947,0.424,0.018,0
Inhba,Deiters_1st/2nd_row,1.07E-256,0.797667356,0.382,0.043,2.49E-252
Tuba1a,Deiters_1st/2nd_row,6.40E-66,0.792440731,0.928,0.84,1.48E-61
Gng12,Deiters_1st/2nd_row,1.25E-184,0.779702074,0.525,0.115,2.90E-180
Rcn1,Deiters_1st/2nd_row,5.90E-126,0.776067326,0.937,0.673,1.37E-121
Ckb,Deiters_1st/2nd_row,3.26E-146,0.772277815,0.975,0.773,7.54E-142
Frmd4a,Deiters_1st/2nd_row,9.59E-231,0.771425178,0.48,0.079,2.22E-226
Fblim1,Deiters_1st/2nd_row,3.81E-154,0.767289206,0.623,0.186,8.81E-150
Itih5,Deiters_1st/2nd_row,1.59E-131,0.763869614,0.643,0.216,3.69E-127
Me2,Deiters_1st/2nd_row,1.05E-105,0.758670016,0.491,0.162,2.44E-101
Clstn1,Deiters_1st/2nd_row,3.48E-115,0.752211378,0.77,0.367,8.05E-111
Slitrk6,Deiters_1st/2nd_row,3.40E-224,0.751880575,0.48,0.079,7.87E-220
Tst,Deiters_1st/2nd_row,2.93E-107,0.747201572,0.542,0.186,6.78E-103
Fzd4,Deiters_1st/2nd_row,3.93E-169,0.740563125,0.491,0.106,9.09E-165
Id4,Deiters_1st/2nd_row,1.13E-80,0.740259804,0.848,0.549,2.61E-76
Emb,Deiters_1st/2nd_row,9.12E-171,0.737240305,0.507,0.114,2.11E-166
S100a13,Deiters_1st/2nd_row,3.21E-138,0.736966585,0.609,0.183,7.43E-134
Ppp1cc,Deiters_1st/2nd_row,8.35E-99,0.727208152,0.793,0.424,1.93E-94
Kremen1,Deiters_1st/2nd_row,2.64E-174,0.722557821,0.527,0.12,6.11E-170
Enah,Deiters_1st/2nd_row,3.78E-94,0.717833045,0.634,0.275,8.76E-90
Ldhb,Deiters_1st/2nd_row,8.03E-118,0.706027175,0.982,0.954,1.86E-113
Hspa2,Deiters_1st/2nd_row,2.08E-95,0.701434676,0.688,0.308,4.81E-91
Gata3,Deiters_1st/2nd_row,6.52E-93,0.700818413,0.848,0.532,1.51E-88
Lor,Deiters_1st/2nd_row,3.96E-102,0.699147723,0.457,0.138,9.15E-98
Itga6,Deiters_1st/2nd_row,8.82E-150,0.698667413,0.509,0.126,2.04E-145
Nupr1,Deiters_1st/2nd_row,1.54E-192,0.690983364,0.315,0.038,3.56E-188
Ttyh1,Deiters_1st/2nd_row,3.23E-84,0.689413931,0.634,0.299,7.48E-80
Sipa1l1,Deiters_1st/2nd_row,6.59E-89,0.688826554,0.851,0.525,1.53E-84
Skp1a,Deiters_1st/2nd_row,2.94E-122,0.687941276,0.975,0.797,6.81E-118
Sox21,Deiters_1st/2nd_row,6.40E-124,0.687590422,0.54,0.165,1.48E-119
Krt8,Deiters_1st/2nd_row,5.97E-88,0.686677703,0.966,0.769,1.38E-83
Socs6,Deiters_1st/2nd_row,1.28E-108,0.673815877,0.572,0.201,2.96E-104
Tagln2,Deiters_1st/2nd_row,3.60E-166,0.671505823,0.371,0.062,8.33E-162
Rpia,Deiters_1st/2nd_row,1.20E-132,0.668528034,0.466,0.119,2.77E-128
Dgat2,Deiters_1st/2nd_row,4.62E-167,0.664733846,0.337,0.052,1.07E-162
Gpr37,Deiters_1st/2nd_row,2.87E-164,0.66292809,0.397,0.072,6.63E-160
Cyb5a,Deiters_1st/2nd_row,1.91E-107,0.660544921,0.962,0.793,4.43E-103
Pgm5,Deiters_1st/2nd_row,4.82E-248,0.655381386,0.391,0.047,1.12E-243
Frzb,Deiters_1st/2nd_row,1.03E-97,0.653474584,0.31,0.07,2.38E-93
Slc7a5,Deiters_1st/2nd_row,4.28E-207,0.652708715,0.342,0.043,9.91E-203
Mycl,Deiters_1st/2nd_row,9.69E-104,0.651426503,0.553,0.186,2.24E-99
Igfbp2,Deiters_1st/2nd_row,4.10E-149,0.650812873,0.377,0.069,9.48E-145
Fkbp4,Deiters_1st/2nd_row,9.35E-105,0.64961493,0.931,0.738,2.16E-100
Gm12892,Deiters_1st/2nd_row,6.56E-97,0.649111565,0.871,0.546,1.52E-92
Aldoc,Deiters_1st/2nd_row,2.50E-48,0.648089236,0.725,0.494,5.79E-44
Cklf,Deiters_1st/2nd_row,6.44E-131,0.645596637,0.433,0.104,1.49E-126
Gnai2,Deiters_1st/2nd_row,2.78E-77,0.641821855,0.774,0.475,6.42E-73
Sall1,Deiters_1st/2nd_row,8.50E-176,0.639049342,0.359,0.056,1.97E-171
Ptprk,Deiters_1st/2nd_row,1.29E-104,0.635634934,0.562,0.192,2.97E-100
Adgrg6,Deiters_1st/2nd_row,3.19E-148,0.632918638,0.402,0.081,7.37E-144
Tgfbr1,Deiters_1st/2nd_row,5.78E-128,0.627859794,0.424,0.102,1.34E-123
Lhfp,Deiters_1st/2nd_row,0,0.62439315,0.315,0.021,0
Cited2,Deiters_1st/2nd_row,3.26E-63,0.618086,0.81,0.547,7.53E-59
Kif1b,Deiters_1st/2nd_row,8.95E-93,0.617341143,0.482,0.163,2.07E-88
Carhsp1,Deiters_1st/2nd_row,4.90E-102,0.614731902,0.572,0.209,1.13E-97
Rnf180,Deiters_1st/2nd_row,2.39E-107,0.609649595,0.471,0.139,5.54E-103
Prkar2a,Deiters_1st/2nd_row,3.90E-79,0.607225065,0.498,0.187,9.03E-75
Nectin3,Deiters_1st/2nd_row,7.98E-132,0.606922423,0.38,0.081,1.85E-127
Bag1,Deiters_1st/2nd_row,4.61E-67,0.604661659,0.862,0.636,1.07E-62
Rhov,Deiters_1st/2nd_row,5.44E-79,0.604007477,0.804,0.434,1.26E-74
Fam3c,Deiters_1st/2nd_row,5.21E-75,0.602278866,0.721,0.382,1.21E-70
Camta1,Deiters_1st/2nd_row,2.91E-69,0.599249838,0.668,0.345,6.73E-65
Gdi2,Deiters_1st/2nd_row,3.29E-73,0.599076279,0.848,0.599,7.62E-69
Sh3glb2,Deiters_1st/2nd_row,5.05E-71,0.596759082,0.678,0.359,1.17E-66
Fam204a,Deiters_1st/2nd_row,1.56E-67,0.596537542,0.736,0.439,3.60E-63
Ptp4a1,Deiters_1st/2nd_row,1.92E-68,0.595243388,0.824,0.538,4.45E-64
Jag1,Deiters_1st/2nd_row,1.47E-86,0.591038495,0.565,0.216,3.39E-82
Tenm4,Deiters_1st/2nd_row,6.69E-98,0.58819092,0.565,0.206,1.55E-93
Pisd,Deiters_1st/2nd_row,2.66E-84,0.587892318,0.476,0.167,6.14E-80
Gmnn,Deiters_1st/2nd_row,7.74E-173,0.585061526,0.266,0.031,1.79E-168
Emx2,Deiters_1st/2nd_row,4.68E-161,0.584428417,0.353,0.058,1.08E-156
Dpysl4,Deiters_1st/2nd_row,1.54E-76,0.584001638,0.665,0.309,3.55E-72
Sdc1,Deiters_1st/2nd_row,3.49E-176,0.58134601,0.33,0.046,8.07E-172
Cdkn1b,Deiters_1st/2nd_row,8.71E-109,0.57958923,0.418,0.111,2.02E-104
Rragd,Deiters_1st/2nd_row,3.46E-187,0.577557062,0.337,0.046,8.00E-183
BC064078,Deiters_1st/2nd_row,2.59E-83,0.577473153,0.469,0.162,5.98E-79
Mgst1,Deiters_1st/2nd_row,9.02E-62,0.5660576,0.9,0.684,2.09E-57
Mif,Deiters_1st/2nd_row,1.80E-68,0.563600021,0.909,0.787,4.17E-64
Stx3,Deiters_1st/2nd_row,3.42E-83,0.558800196,0.578,0.232,7.92E-79
Bcar3,Deiters_1st/2nd_row,1.76E-133,0.553368756,0.308,0.053,4.08E-129
Raver2,Deiters_1st/2nd_row,6.56E-131,0.548690032,0.431,0.099,1.52E-126
Tspan12,Deiters_1st/2nd_row,4.29E-69,0.548295386,0.502,0.206,9.92E-65
Marveld3,Deiters_1st/2nd_row,1.30E-86,0.547618723,0.402,0.119,3.00E-82
S100a6,Deiters_1st/2nd_row,3.17E-68,0.547349976,0.54,0.231,7.34E-64
Hmga2,Deiters_1st/2nd_row,1.71E-140,0.547233139,0.272,0.039,3.95E-136
Pkm,Deiters_1st/2nd_row,1.50E-82,0.545723466,0.966,0.894,3.46E-78
Fscn1,Deiters_1st/2nd_row,1.25E-147,0.545020822,0.382,0.072,2.89E-143
Krt18,Deiters_1st/2nd_row,8.43E-76,0.540304925,0.98,0.824,1.95E-71
Efna4,Deiters_1st/2nd_row,6.78E-70,0.538399034,0.478,0.184,1.57E-65
Kif21a,Deiters_1st/2nd_row,5.60E-72,0.532313049,0.417,0.147,1.29E-67
Efhd2,Deiters_1st/2nd_row,1.44E-81,0.52926451,0.389,0.118,3.33E-77
Slc25a5,Deiters_1st/2nd_row,1.88E-103,0.529129216,0.993,0.944,4.36E-99
Cxadr,Deiters_1st/2nd_row,4.30E-57,0.528728771,0.567,0.27,9.95E-53
Slc27a3,Deiters_1st/2nd_row,3.89E-123,0.527392827,0.328,0.063,9.00E-119
Mdm1,Deiters_1st/2nd_row,2.09E-121,0.52701905,0.293,0.052,4.84E-117
Gm10638,Deiters_1st/2nd_row,1.48E-81,0.526098152,0.308,0.079,3.43E-77
Rassf9,Deiters_1st/2nd_row,4.85E-69,0.524811659,0.493,0.194,1.12E-64
Nsun5,Deiters_1st/2nd_row,7.15E-144,0.524653704,0.321,0.053,1.66E-139
Mocs2,Deiters_1st/2nd_row,5.37E-50,0.524225672,0.603,0.33,1.24E-45
Ccnt2,Deiters_1st/2nd_row,7.99E-58,0.520025999,0.6,0.306,1.85E-53
Rassf4,Deiters_1st/2nd_row,1.61E-72,0.512918445,0.366,0.116,3.73E-68
Syne2,Deiters_1st/2nd_row,2.42E-58,0.512389163,0.543,0.251,5.61E-54
Wnt7a,Deiters_1st/2nd_row,2.63E-92,0.511623846,0.391,0.107,6.09E-88
Bend4,Deiters_1st/2nd_row,3.86E-130,0.505963332,0.299,0.051,8.93E-126
Pkd2l1,Deiters_1st/2nd_row,4.39E-278,0.505355887,0.279,0.019,1.02E-273
Ccnjl,Deiters_1st/2nd_row,6.26E-81,0.503948963,0.341,0.094,1.45E-76
Agpat5,Deiters_1st/2nd_row,5.66E-66,0.503680222,0.422,0.153,1.31E-61
Sfn,Deiters_1st/2nd_row,1.18E-82,0.49795922,0.315,0.078,2.73E-78
Ccdc80,Deiters_1st/2nd_row,1.14E-71,0.496751843,0.543,0.217,2.64E-67
Ifitm2,Deiters_1st/2nd_row,1.09E-51,0.494500694,0.79,0.529,2.53E-47
Vta1,Deiters_1st/2nd_row,1.57E-53,0.493175337,0.589,0.308,3.63E-49
Fhl2,Deiters_1st/2nd_row,5.56E-45,0.492193826,0.574,0.303,1.29E-40
Tectb,Deiters_1st/2nd_row,1.57E-73,0.490668153,0.808,0.411,3.64E-69
Palm,Deiters_1st/2nd_row,6.79E-58,0.487198526,0.484,0.209,1.57E-53
Slc27a1,Deiters_1st/2nd_row,1.36E-61,0.485783461,0.592,0.284,3.15E-57
Nrip1,Deiters_1st/2nd_row,2.93E-58,0.484215853,0.435,0.175,6.77E-54
Igsf8,Deiters_1st/2nd_row,3.36E-56,0.484004569,0.563,0.274,7.77E-52
Siah1a,Deiters_1st/2nd_row,6.04E-44,0.483388846,0.451,0.219,1.40E-39
Tkt,Deiters_1st/2nd_row,1.17E-48,0.481866896,0.764,0.521,2.70E-44
F2r,Deiters_1st/2nd_row,4.21E-67,0.480668254,0.35,0.112,9.74E-63
Fgfrl1,Deiters_1st/2nd_row,2.28E-65,0.478212887,0.444,0.17,5.29E-61
Tjp2,Deiters_1st/2nd_row,3.15E-70,0.477076699,0.346,0.106,7.29E-66
Mtch2,Deiters_1st/2nd_row,9.48E-46,0.473978187,0.745,0.516,2.19E-41
Cmas,Deiters_1st/2nd_row,5.02E-45,0.47013177,0.585,0.323,1.16E-40
Eif5a,Deiters_1st/2nd_row,3.76E-82,0.468865917,0.995,0.932,8.71E-78
Fbn2,Deiters_1st/2nd_row,1.52E-52,0.465959735,0.558,0.27,3.52E-48
Nr4a3,Deiters_1st/2nd_row,4.02E-86,0.465397996,0.292,0.068,9.30E-82
Ephb1,Deiters_1st/2nd_row,2.38E-118,0.462485043,0.299,0.055,5.50E-114
Pcbp4,Deiters_1st/2nd_row,1.26E-56,0.46104962,0.929,0.769,2.93E-52
Gas2,Deiters_1st/2nd_row,3.37E-46,0.459852411,0.716,0.46,7.80E-42
Tbc1d10a,Deiters_1st/2nd_row,1.57E-45,0.455026241,0.495,0.236,3.63E-41
Arl6ip5,Deiters_1st/2nd_row,1.36E-34,0.452999277,0.784,0.624,3.14E-30
Afap1l1,Deiters_1st/2nd_row,1.12E-90,0.450948211,0.308,0.071,2.59E-86
Rffl,Deiters_1st/2nd_row,2.25E-97,0.450665801,0.295,0.063,5.20E-93
Gpc1,Deiters_1st/2nd_row,9.64E-41,0.449211907,0.442,0.22,2.23E-36
9230102O04Rik,Deiters_1st/2nd_row,7.26E-51,0.4442434,0.699,0.393,1.68E-46
Sema6a,Deiters_1st/2nd_row,3.95E-43,0.443673528,0.471,0.23,9.13E-39
Nrarp,Deiters_1st/2nd_row,5.35E-44,0.443140914,0.694,0.406,1.24E-39
Rps6ka1,Deiters_1st/2nd_row,3.84E-69,0.442071565,0.37,0.12,8.88E-65
Tmprss3,Deiters_1st/2nd_row,1.45E-73,0.441508363,0.315,0.087,3.34E-69
Ckap4,Deiters_1st/2nd_row,1.16E-37,0.440727339,0.656,0.415,2.68E-33
Ctnnbip1,Deiters_1st/2nd_row,2.08E-44,0.438347174,0.83,0.617,4.81E-40
Jmy,Deiters_1st/2nd_row,4.51E-79,0.436352403,0.297,0.075,1.04E-74
Ppp2r3c,Deiters_1st/2nd_row,1.34E-53,0.434170785,0.366,0.138,3.09E-49
Maff,Deiters_1st/2nd_row,1.09E-35,0.434054409,0.589,0.336,2.53E-31
Selenom,Deiters_1st/2nd_row,4.60E-81,0.433656412,0.759,0.413,1.07E-76
Lgmn,Deiters_1st/2nd_row,1.35E-39,0.433278484,0.567,0.318,3.13E-35
Capn2,Deiters_1st/2nd_row,1.89E-43,0.42990014,0.502,0.25,4.37E-39
Gpx4,Deiters_1st/2nd_row,7.63E-48,0.428848977,0.899,0.759,1.76E-43
1700025G04Rik,Deiters_1st/2nd_row,3.28E-57,0.427304834,0.357,0.126,7.59E-53
Acer3,Deiters_1st/2nd_row,1.30E-86,0.425322537,0.281,0.062,3.00E-82
Cyth2,Deiters_1st/2nd_row,6.86E-37,0.425147905,0.736,0.529,1.59E-32
Hsp90ab1,Deiters_1st/2nd_row,4.32E-82,0.420748487,0.995,0.975,9.99E-78
Asrgl1,Deiters_1st/2nd_row,6.34E-46,0.418599855,0.37,0.152,1.47E-41
Sall2,Deiters_1st/2nd_row,5.30E-43,0.417015938,0.505,0.253,1.23E-38
Prss36,Deiters_1st/2nd_row,5.89E-66,0.416604509,0.337,0.105,1.36E-61
Slc35b2,Deiters_1st/2nd_row,8.86E-38,0.415268175,0.524,0.292,2.05E-33
Grtp1,Deiters_1st/2nd_row,4.15E-57,0.413555955,0.384,0.14,9.59E-53
Plekhj1,Deiters_1st/2nd_row,1.75E-40,0.413554673,0.714,0.473,4.04E-36
Slc3a2,Deiters_1st/2nd_row,9.59E-30,0.412883101,0.554,0.344,2.22E-25
C2cd4b,Deiters_1st/2nd_row,8.19E-15,0.411538304,0.33,0.201,1.90E-10
Mtap,Deiters_1st/2nd_row,1.22E-62,0.411050357,0.335,0.107,2.82E-58
Cisd1,Deiters_1st/2nd_row,6.50E-40,0.409375739,0.761,0.536,1.50E-35
Mycn,Deiters_1st/2nd_row,3.55E-36,0.409109141,0.533,0.289,8.22E-32
Cdc123,Deiters_1st/2nd_row,9.41E-31,0.408598314,0.534,0.338,2.18E-26
Agpat2,Deiters_1st/2nd_row,2.45E-43,0.404116647,0.457,0.218,5.66E-39
Ece1,Deiters_1st/2nd_row,8.93E-59,0.403722099,0.303,0.094,2.07E-54
F2rl1,Deiters_1st/2nd_row,1.00E-77,0.403444289,0.274,0.064,2.31E-73
Lsm4,Deiters_1st/2nd_row,5.85E-29,0.401801109,0.714,0.525,1.35E-24
Cotl1,Deiters_1st/2nd_row,2.47E-43,0.400399342,0.33,0.127,5.73E-39
Tspan13,Deiters_1st/2nd_row,1.62E-46,0.39893875,0.888,0.631,3.75E-42
Cdkn1a,Deiters_1st/2nd_row,6.14E-48,0.398187262,0.437,0.182,1.42E-43
Tceal8,Deiters_1st/2nd_row,5.90E-42,0.396016492,0.935,0.84,1.37E-37
Tmem86a,Deiters_1st/2nd_row,6.27E-85,0.393661453,0.254,0.053,1.45E-80
Dclk1,Deiters_1st/2nd_row,7.13E-40,0.39356656,0.324,0.13,1.65E-35
Cystm1,Deiters_1st/2nd_row,1.47E-45,0.392967884,0.844,0.65,3.40E-41
Unc5b,Deiters_1st/2nd_row,5.40E-53,0.39183089,0.29,0.094,1.25E-48
Etv5,Deiters_1st/2nd_row,8.29E-45,0.390035521,0.284,0.1,1.92E-40
Pon2,Deiters_1st/2nd_row,6.07E-37,0.388945113,0.422,0.205,1.41E-32
F11r,Deiters_1st/2nd_row,2.03E-37,0.388884478,0.598,0.346,4.71E-33
Arntl,Deiters_1st/2nd_row,2.78E-45,0.388457898,0.319,0.118,6.43E-41
Trib2,Deiters_1st/2nd_row,2.73E-46,0.388122864,0.255,0.083,6.31E-42
BC006965,Deiters_1st/2nd_row,6.34E-42,0.386605605,0.627,0.348,1.47E-37
Ctnnd1,Deiters_1st/2nd_row,9.33E-41,0.382180797,0.395,0.176,2.16E-36
Tns1,Deiters_1st/2nd_row,6.48E-79,0.381570723,0.257,0.057,1.50E-74
Nckap5,Deiters_1st/2nd_row,4.23E-46,0.379718469,0.337,0.129,9.79E-42
Etnk1,Deiters_1st/2nd_row,1.87E-43,0.379206215,0.368,0.154,4.32E-39
Rhou,Deiters_1st/2nd_row,2.65E-55,0.378301903,0.332,0.111,6.13E-51
Strap,Deiters_1st/2nd_row,8.25E-29,0.378211814,0.743,0.543,1.91E-24
Rhoc,Deiters_1st/2nd_row,2.43E-33,0.37748935,0.487,0.264,5.63E-29
Eepd1,Deiters_1st/2nd_row,9.01E-61,0.377080751,0.284,0.082,2.08E-56
Acsl3,Deiters_1st/2nd_row,3.06E-24,0.375521698,0.524,0.337,7.07E-20
Card19,Deiters_1st/2nd_row,2.95E-34,0.375497901,0.795,0.592,6.82E-30
Nif3l1,Deiters_1st/2nd_row,1.83E-40,0.375494542,0.33,0.134,4.24E-36
Ranbp1,Deiters_1st/2nd_row,5.48E-37,0.374592963,0.908,0.782,1.27E-32
Pantr1,Deiters_1st/2nd_row,1.08E-40,0.374339632,0.647,0.37,2.50E-36
Psma5,Deiters_1st/2nd_row,1.99E-31,0.374214226,0.813,0.669,4.60E-27
Marcksl1,Deiters_1st/2nd_row,8.79E-73,0.372439644,1,0.979,2.03E-68
Glmp,Deiters_1st/2nd_row,7.45E-35,0.36935919,0.775,0.577,1.72E-30
Ivns1abp,Deiters_1st/2nd_row,1.54E-34,0.369318595,0.551,0.308,3.57E-30
Gsto1,Deiters_1st/2nd_row,2.62E-60,0.368823234,0.264,0.073,6.07E-56
Bag2,Deiters_1st/2nd_row,2.04E-25,0.368545257,0.578,0.381,4.72E-21
Hsp90aa1,Deiters_1st/2nd_row,6.94E-34,0.368357203,0.83,0.626,1.61E-29
Atg3,Deiters_1st/2nd_row,3.16E-26,0.367900602,0.491,0.299,7.32E-22
Eif4a1,Deiters_1st/2nd_row,1.74E-62,0.366241894,0.986,0.963,4.03E-58
Arid1a,Deiters_1st/2nd_row,5.53E-27,0.365343932,0.44,0.25,1.28E-22
Nhp2,Deiters_1st/2nd_row,2.09E-27,0.364862328,0.639,0.444,4.83E-23
Uqcrq,Deiters_1st/2nd_row,1.74E-46,0.364036333,0.949,0.843,4.02E-42
Snrpn,Deiters_1st/2nd_row,8.48E-31,0.363777448,0.696,0.496,1.96E-26
Trak1,Deiters_1st/2nd_row,9.75E-53,0.363378744,0.283,0.09,2.26E-48
Sars,Deiters_1st/2nd_row,4.59E-28,0.362185846,0.484,0.282,1.06E-23
Tekt1,Deiters_1st/2nd_row,1.42E-42,0.360901136,0.283,0.101,3.29E-38
Rrbp1,Deiters_1st/2nd_row,6.90E-29,0.360863278,0.614,0.401,1.60E-24
Raph1,Deiters_1st/2nd_row,2.04E-35,0.35980279,0.31,0.13,4.72E-31
Col4a1,Deiters_1st/2nd_row,5.30E-58,0.359557868,0.283,0.083,1.23E-53
Gna13,Deiters_1st/2nd_row,2.81E-22,0.358081165,0.418,0.243,6.51E-18
Vmp1,Deiters_1st/2nd_row,1.11E-28,0.356680472,0.627,0.415,2.57E-24
Sall3,Deiters_1st/2nd_row,1.62E-35,0.356426076,0.379,0.174,3.75E-31
Fubp1,Deiters_1st/2nd_row,5.88E-24,0.355551882,0.594,0.41,1.36E-19
Anp32b,Deiters_1st/2nd_row,7.39E-27,0.354339732,0.792,0.641,1.71E-22
Fabp5,Deiters_1st/2nd_row,1.33E-38,0.351201944,0.288,0.109,3.07E-34
Aif1l,Deiters_1st/2nd_row,3.17E-32,0.350682667,0.426,0.217,7.33E-28
Glul,Deiters_1st/2nd_row,1.02E-26,0.34884598,0.661,0.45,2.36E-22
Snx22,Deiters_1st/2nd_row,8.28E-67,0.34694025,0.257,0.064,1.91E-62
Olfml3,Deiters_1st/2nd_row,3.52E-18,0.342460881,0.438,0.282,8.15E-14
Ubp1,Deiters_1st/2nd_row,8.78E-40,0.341590621,0.261,0.093,2.03E-35
Tpd52,Deiters_1st/2nd_row,1.18E-21,0.340696184,0.654,0.483,2.74E-17
Ackr3,Deiters_1st/2nd_row,2.52E-27,0.34040734,0.364,0.184,5.82E-23
Dctd,Deiters_1st/2nd_row,1.32E-39,0.339658538,0.286,0.108,3.06E-35
Ensa,Deiters_1st/2nd_row,1.97E-27,0.339078668,0.471,0.271,4.57E-23
Cd47,Deiters_1st/2nd_row,2.58E-25,0.337723781,0.582,0.382,5.97E-21
